;Name;Description;Followers
0;Matter;The original flagship publication of Medium;1,036,488
1;The Startup;Medium's largest active publication, followed by +668K people. Follow to join our community.;668,651
2;freeCodeCamp.org;This is no longer updated. Go to https://freecodecamp.org/news instead;612,452
3;Mission.org;A network of business & tech podcasts designed to accelerate learning. Selected as “Best of 2018” by Apple. Mission.org;542,542
4;Personal Growth;Sharing our ideas and experiences.;494,533
5;HackerNoon.com;Elijah McClain, George Floyd, Eric Garner, Breonna Taylor, Ahmaud Arbery, Michael Brown, Oscar Grant, Atatiana Jefferson, Tamir Rice, Bettie Jones, Botham Jean;485,683
6;Towards Data Science;A Medium publication sharing concepts, ideas, and codes.;436,415
7;Startup Grind;Stories, tips, and learnings from and for startups around the world. Welcoming submissions re: startup education, tech trends, product, design, hiring, growth, investing, and more. Interested in submitting? Visit our submission form here: https://airtable.com/shrShpeN89HrzCzOB;417,700
8;The Economist;Insight and opinion on international news, politics, business, finance, science, technology, books and arts;414,368
9;Better Humans;Better Humans is a collection of the world's most trustworthy writing on human potential and self improvement by coaches, academics, and aggressive self-experimenters. Articles are based on deep personal experience, science, and research. No fluff, book reports, or listicles.;378,575
10;The Coinbase Blog;Learn about working at Coinbase: https://www.coinbase.com/careers;375,427
11;UX Collective;We believe designers are thinkers as much as they are makers. Curated stories on UX, Visual & Product Design.;370,300
12;Twitch Blog;The Official Blog;348,247
13;The Washington Post;News and analysis from around the world. Founded in 1877.;307,992
14;UX Planet;UX Planet is a one-stop resource for everything related to user experience.;260,910
15;Human Parts;A Medium publication about humanity: yours, mine, and ours;225,946
16;P.S. I Love You;Relationships now;219,079
17;The Coffeelicious;Home to some of the best stories on medium. Look around, relax and enjoy one with a sip of coffee.;209,951
18;The Writing Cooperative;A community of people helping each other write better.;208,144
19;ThinkGrowth.org;ThinkGrowth.org is a HubSpot publication. We bring you stories, insights, and ideas to help you and your business grow.;194,298
20;Google Design;Stories by Googlers on the practice of design. For editorial content and more visit design.google;187,424
21;Backchannel;Mining the tech world for lively and meaningful tales and analysis.;186,341
22;Muzli - Design Inspiration;All the design inspiration you need.  It's like crack for designers. And good for you too! #design #ux #ui #inspiration #creativity #art #startup;184,780
23;OneZero;The undercurrents of the future. A Medium publication about tech and science.;184,468
24;The Atlantic;Syndicated stories from The Atlantic.;174,418
25;Product Hunt;The place to discover your next favorite thing.;174,056
26;The White House;Follow for the latest from President Obama and his Administration;172,941
27;Prototypr;Prototyping, UX Design, Front-end Development and Beyond 👾;170,409
28;Elemental;Your life, sourced by science. A new Medium publication about health and wellness.;163,821
29;Due.com;We teach you everything you need to know to get paid quicker, close more deals and get the best deals on payments alive!;161,883
30;Thrive Global;More than living. Thriving.;160,942
31;Be Yourself;Don't instruct, share.;160,489
32;Marketing and Entrepreneurship;Tips & News on Social Media Marketing, Online Advertising, Search Engine Optimization, Content Marketing, Growth Hacking, Branding, Start-Ups and more.;155,913
33;Entrepreneur's Handbook;"How to succeed in entrepreneurship; feat. founder stories, design articles, and startup deep dives that inspire your entrepreneurial journey.";150,007
34;Hillary for America;Stories from the campaign trail, moments in history, ideas to help Americans get ahead and stay ahead.;143,902
35;Better Programming;Advice for programmers.;133,628
36;Signal v. Noise;Strong opinions and shared thoughts on design, business, and technology. Since 1999. Work together the easy way with our all-new version 3 at https://basecamp.com;118,982
37;Slackjaw;Medium humor. Large laughs.;118,199
38;Startups.com;Amazing content for Startup Founders, by Startup Founders.;116,259
39;Google Developers;Engineering and technology articles for developers, written and curated by Googlers. The views expressed are those of the authors and don't necessarily reflect those of Google.;115,718
40;CRUSHING IT;Sharing stories of personal and professional success inspired by @garyvee;114,316
41;Electric Literature;Expanding the influence of literature in popular culture.;110,863
42;JavaScript Scene;JavaScript, software leadership, software development, and related technologies.;107,175
43;DailyJS;JavaScript news and opinion.;106,515
44;Airbnb Engineering & Data Science;Creative engineers and data scientists building a world where you can belong anywhere. http://airbnb.io;104,786
45;The Ascent;A community of storytellers documenting the journey to happiness & fulfillment. Join 100,000+ others making the climb on one of the fastest-growing pubs on Medium.;102,493
46;3 min read;The official Medium blog;98,316
47;Netflix TechBlog;Learn about Netflix’s world class engineering efforts, company culture, product developments and more.;97,705
48;The Happy Entrepreneur;For the new breed of entrepreneur that believes there’s more to business than making money;97,171
49;codeburst;Bursts of code to power through your day. Web Development articles, tutorials, and news.;97,074
50;Design + Sketch;The best collection of articles, tips, tutorials, and stories on designing and prototyping with Sketch and beyond;92,652
51;Fortune Insiders;Where the most influential players in business and beyond offer leadership and career advice;91,960
52;Mind Cafe;Relaxed, inspiring essays about happiness.;89,629
53;ART + marketing;We publish creators. Why they make. How they see. What they do. Everyday is the creators' perspectives. This is the corporate blog of @AMI.;89,093
54;Financial Times;Financial Times;88,483
55;The Nib;Political cartoons, comics journalism, humor and non-fiction. Words plus pictures.;87,509
56;NewCo Shift;Covering the biggest shift in business and society since the industrial revolution;85,681
57;The Billfold;Everything you wanted to know about money but were too polite to ask.;85,382
58;BRIGHT Magazine;Fresh storytelling about health, education, and social impact;84,659
59;Forge;Beat yesterday. A new Medium publication about personal development.;84,462
60;Better Marketing;Marketing advice & case studies to help you market ethically, authentically, and efficiently.;83,115
61;The Creative Cafe;Unlocking creativity through community. Dedicated to supporting and fostering the creative writing community. This is a place for compulsive creators, their work, and their stories. Prompts twice a month and stories published every day(ish). Brought to you by Likewise.;82,810
62;Calendar;We are Calendar, trying to make the world a much more productive place.;82,092
63;The Intercept;Fearless, adversarial journalism;81,114
64;The Crypto;Distributing the Future Ξ Medium’s leading blockchain and crypto publication, focused on the people, technology, economics, and applications of decentralized ledger technology, accepting contributors @ http://bit.ly/cryptowriter Ξ Produced by Truth Cartel @ http://Truthcartel.com;78,759
65;BuzzFeed Collections;Our home on Medium for BuzzFeed Collections — curated packages of our best feature stories and essays.;77,509
66;Noteworthy - The Journal Blog;The Official Journal Blog;75,487
67;Vantage;Perspectives on Visual Storytelling;75,466
68;GEN;What matters now. A Medium publication about politics, power, and culture.;74,589
69;WSJ Momentum;Insights about The Wall Street Journal’s evolving products and changing newsroom.;72,132
70;Grace Incarnate;A liturgical logbook of sorts by Jonas Ellison;71,825
